0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:56:41 +0800] "GET /Shop/assets/img/testimonial/testimonial-1/testimonial-1.png HTTP/1.1" 200 9463
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:56:41 +0800] "GET /Shop/assets/img/testimonial/testimonial-1/testimonial-3.png HTTP/1.1" 200 9430
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:56:41 +0800] "GET /Shop/assets/img/clients/brands.svg HTTP/1.1" 200 36180
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:56:41 +0800] "GET /Shop/assets/img/testimonial/testimonial-1/arrow.svg HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:56:41 +0800] "GET /Shop/assets/fonts/LineIcons.woff2 HTTP/1.1" 200 51676
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/css/bootstrap-5.0.0-alpha-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/css/LineIcons.2.0.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/css/lindy-uikit.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/css/tiny-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/css/glightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/img/hero/hero-2/paattern.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/img/logo/logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/img/hero/hero-2/hero-img.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/img/feature/feature-2-1.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/img/about/about-3/about-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/img/gallery/gallery-1/gallery-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/img/gallery/gallery-1/gallery-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/img/gallery/gallery-1/gallery-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/img/gallery/gallery-1/gallery-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/img/gallery/gallery-1/gallery-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/img/gallery/gallery-1/gallery-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/js/bootstrap.5.0.0.alpha-2-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/js/tiny-slider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Feb/2023:17:57:17 +0800] "GET /Shop/assets/js/glightbox.min.js HTTP/1.1" 304 -
